BCCvolume_pa_difference,BCCefflatcnt_max_value,BCCefflatcnt_difference,BCCvolume_pa_max_value,n_ws^third_difference,CovalentRadius_difference,ICSDVolume_max_value,AtomicRadii_difference,AtomicRadii_max_value,CovalentRadius_max_value,ICSDVolume_difference,valence_max_value,MendeleevNumber_arithmetic_average,NdUnfilled_arithmetic_average,GSenergy_pa_max_value,BCCenergy_pa_max_value,GSenergy_pa_min_value,valence_arithmetic_average,BCCfermi_arithmetic_average,BCCenergy_pa_min_value,valence_composition_average,ElasticModulus_difference,BCCfermi_composition_average,MendeleevNumber_composition_average,n_ws^third_arithmetic_average
21.880000000000006,7.760395346,2.8655235770000003,29.21,0.4400000000000001,100.0,39.7,1.17,1.9,166.0,22.4,5.0,58.0,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.6666666666666665,4.259314833333333,-1.2544847,2.4,62.0,3.7850023,69.6,0.6933333333333334
64.77,10.48781656,5.592944791000002,72.1,0.62,137.0,75.6,1.62,2.35,203.0,58.3,3.0,33.666666666666664,3.0,-1.09753971333,-1.096516,-1.09753971333,2.0,2.4904184766666666,-1.096516,2.0,77.6,2.723664486,55.0,0.64
64.77,10.48781656,5.592944791000002,72.1,0.87,137.0,75.6,1.62,2.35,203.0,58.3,4.0,44.33333333333334,2.6666666666666665,-1.09753971333,-1.096516,-1.09753971333,2.333333333333333,1.9985351133333331,-1.096516,2.2,107.6,2.428534468,61.40000000000001,0.7233333333333334
45.58,9.45988626,4.565014491,52.91,0.42,129.0,56.0,1.42,2.15,195.0,38.7,5.0,60.0,0.0,-1.6828136000000002,-1.67793991,-1.6828136000000002,3.0,4.391088276666666,-1.67793991,2.6,52.0,3.8640663660000003,70.80000000000003,0.7
56.26000000000001,10.05779862,5.162926851,63.59,0.46,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,3.0,35.666666666666664,3.0,-1.92352226,-1.92352226,-1.92352226,2.333333333333333,3.04165841,-1.92352226,2.2,67.0,3.054408446,56.2,0.6933333333333334
56.26000000000001,10.05779862,5.162926851,63.59,0.5999999999999999,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,4.0,46.66666666666666,2.6666666666666665,-1.92352226,-1.92352226,-1.92352226,2.6666666666666665,2.9670749466666666,-1.92352226,2.4000000000000004,81.0,3.009658368,62.8,0.74
56.26000000000001,10.05779862,5.162926851,63.59,0.6399999999999999,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,4.0,47.0,2.6666666666666665,-1.92352226,-1.92352226,-1.92352226,2.6666666666666665,3.135281586666667,-1.92352226,2.4000000000000004,126.0,3.110582352,63.0,0.7533333333333334
56.26000000000001,10.05779862,5.162926851,63.59,0.8299999999999998,149.0,62.8,1.4900000000000002,2.22,215.0,49.0,5.0,47.33333333333334,2.333333333333333,-1.92352226,-1.92352226,-1.92352226,3.0,3.709398723333333,-1.92352226,2.6,116.0,3.455052634,63.2,0.8166666666666667
56.26000000000001,10.05779862,5.162926851,63.59,0.8299999999999998,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,5.0,47.66666666666666,2.0,-1.92352226,-1.92352226,-1.92352226,3.0,3.19166542,-1.92352226,2.6,91.0,3.144412652,63.40000000000001,0.8166666666666667
56.26000000000001,10.05779862,5.162926851,63.59,0.8199999999999998,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,5.0,48.0,2.333333333333333,-1.92352226,-1.92352226,-1.92352226,3.0,3.3698059133333333,-1.92352226,2.6,170.0,3.251296948,63.6,0.8133333333333334
